ProcessingType=2,,,,,,,,,,,,,,,,,,
NumCellSeries=4,,,,,,,,,,,,,,,,,,
ElapsedTimeColumn=0,,,,,,,,,,,,,,,,,,
VoltageColumn=3,,,,,,,,,,,,,,,,,,
CurrentColumn=8,,,,,,,,,,,,,,,,,,
TemperatureColumn=2,,,,,,,,,,,,,,,,,,
Time[s],DataTime,Temperature °C,Volt[mV],VoltC1[mV],VoltC2[mV],VoltC3[mV],VoltC4[mV],Current[mA],RSOC[%],ASOC[%],LStatus,IT Status[hex],Battery Status[hex],Manufacturing Status[hex],Operation Status A[hex],Operation Status B[hex],Safety Status A+B[hex],Safety Status C+D[hex]
10.2,07.04.2022 21:26:38,20.5,13062,3268,3263,3265,3266,0,29,25,4,814,00C0,000E,107,0,0,0
11.4,07.04.2022 21:26:39,20.3,13062,3269,3263,3265,3266,0,29,25,4,814,00C0,000E,107,0,0,0
12.7,07.04.2022 21:26:41,20.4,13053,3267,3260,3262,3263,-46,29,25,4,814,00C0,000E,107,0,0,0
14.0,07.04.2022 21:26:42,20.3,13054,3267,3261,3263,3264,-80,29,25,4,814,00C0,000E,107,0,0,0
15.3,07.04.2022 21:26:43,20.4,13054,3267,3260,3262,3263,-77,29,25,4,814,00C0,000E,107,0,0,0
16.5,07.04.2022 21:26:44,20.4,13051,3267,3259,3263,3263,-177,29,25,4,814,00C0,000E,107,0,0,0
17.8,07.04.2022 21:26:46,20.2,13030,3263,3253,3255,3255,-281,29,25,4,814,00C0,000E,107,0,0,0
19.1,07.04.2022 21:26:47,20.4,13016,3260,3250,3253,3252,-397,29,25,4,814,00C0,000E,107,0,0,0
20.3,07.04.2022 21:26:48,20.4,13013,3260,3249,3252,3252,-411,29,25,4,814,00C0,000E,107,0,0,0
21.6,07.04.2022 21:26:49,20.4,13012,3263,3253,3256,3256,-411,29,25,4,814,00C0,000E,107,0,0,0
22.8,07.04.2022 21:26:51,20.4,13029,3263,3254,3257,3257,-242,29,25,4,814,00C0,000E,107,0,0,0
24.1,07.04.2022 21:26:52,20.4,13020,3260,3250,3253,3252,-326,29,25,4,814,00C0,000E,107,0,0,0
25.3,07.04.2022 21:26:53,20.3,13012,3260,3249,3252,3252,-389,29,25,4,814,00C0,000E,107,0,0,0
26.6,07.04.2022 21:26:54,20.4,13012,3260,3249,3252,3252,-386,29,25,4,814,00C0,000E,107,0,0,0
27.8,07.04.2022 21:26:56,20.4,13012,3260,3249,3252,3252,-385,29,25,4,814,00C0,000E,107,0,0,0
29.1,07.04.2022 21:26:57,20.2,13012,3260,3249,3252,3252,-379,29,25,4,814,00C0,000E,107,0,0,0
30.3,07.04.2022 21:26:58,20.4,13011,3259,3248,3252,3252,-379,29,25,4,814,00C0,000E,107,0,0,0
31.5,07.04.2022 21:26:59,20.3,13012,3259,3248,3252,3251,-377,29,25,4,814,00C0,000E,107,0,0,0
32.8,07.04.2022 21:27:01,20.2,13011,3259,3248,3252,3252,-380,29,25,4,814,00C0,000E,107,0,0,0
34.1,07.04.2022 21:27:02,20.4,13010,3260,3249,3252,3252,-378,29,25,4,814,00C0,000E,107,0,0,0
35.3,07.04.2022 21:27:03,20.3,13012,3259,3249,3252,3252,-362,29,25,4,814,00C0,000E,107,0,0,0
36.6,07.04.2022 21:27:04,20.4,13011,3244,3224,3230,3224,-361,29,25,4,814,00C0,000E,107,0,0,0
37.8,07.04.2022 21:27:06,20.4,12886,3236,3211,3218,3211,-1551,29,24,4,814,00C0,000E,107,0,0,0
39.1,07.04.2022 21:27:07,20.2,12875,3235,3210,3217,3211,-1552,29,24,4,814,00C0,000E,107,0,0,0
40.3,07.04.2022 21:27:08,20.3,12869,3234,3207,3216,3209,-1548,29,24,4,814,00C0,000E,107,0,0,0
41.6,07.04.2022 21:27:09,20.4,12865,3232,3207,3215,3208,-1545,29,24,4,814,00C0,000E,107,0,0,0
